Chest Pain,question,Infarct,Ischemia,Aortic Dissection,PE,CHF,Pericarditis,AS/AI,Pulmonary,Eso rupture,MS,GI
Pressure,Pain Characteristics,0.95,0.95,0.9,0.6,0.4,0.45,0.65,0.35,0.25,0.02,0.55
Squeezing,Pain Characteristics,0.95,0.95,0.65,0.4,0.2,0.4,0.7,0.35,0.2,0.02,0.45
Central,Location and Radiation,0.9,0.9,0.85,0.45,0.2,0.7,0.55,0.6,0.45,0.02,0.7
Gripping,Pain Characteristics,0.7,0.7,0.85,0.25,0.05,0.3,0.02,0.3,0.65,0.01,0.05
Heaviness,Pain Characteristics,0.96,0.95,0.7,0.3,0.6,0.6,0.15,0.3,0.4,0.01,0.2
Tightness,Pain Characteristics,0.96,0.95,0.6,0.4,0.5,0.45,0.65,0.45,0.15,0.02,0.2
Exertional,Location and Radiation,0.98,0.98,0.01,0.25,0.85,0.02,0.85,0.75,0.01,0.01,0.01
Retrosternal,Location and Radiation,0.95,0.95,0.85,0.35,0.4,0.8,0.55,0.25,0.9,0.15,0.7
Left side,Location and Radiation,0.95,0.95,0.4,0.2,0.03,0.5,0.5,0.25,0.4,0.1,0.35
Dull,Pain Characteristics,0.95,0.95,0.2,0.3,0.03,0.45,0.65,0.6,0.45,0.06,0.7
Ache,Pain Characteristics,0.4,0.3,0.03,0.1,0.01,0.02,0.02,0.02,0.01,0.75,0.55
Stabbing,Pain Characteristics,0.01,0.01,0.06,0.9,0.01,0.55,0.01,0.01,0.7,0.5,0.15
Right side,Location and Radiation,0.15,0.15,0.1,0.15,0.01,0.3,0.02,0.3,0.01,0.7,0.6
Tearing,Pain Characteristics,0.01,0.01,0.99,0.1,0.01,0.05,0.01,0.01,0.25,0.01,0.01
Ripping,Pain Characteristics,0.01,0.01,0.99,0.1,0.01,0.02,0.01,0.01,0.2,0.01,0.01
Burning,Pain Characteristics,0.25,0.25,0.2,0.5,0.01,0.8,0.01,0.02,0.35,0.35,0.75
Boring,Pain Characteristics,0.25,0.2,0.8,0.15,0.01,0.15,0.02,0.01,0.25,0.01,0.7
Sharp,Pain Characteristics,0.01,0.01,0.25,0.7,0.01,0.2,0.01,0.02,0.02,0.8,0.2
Pleuritic,Pain Characteristics,0.01,0.01,0.07,0.99,0.01,0.8,0.01,0.35,0.15,0.01,0.01
Positional,Pain Characteristics,0.01,0.01,0.01,0.01,0.45,0.95,0.01,0.01,0.01,0.9,0.45
